"경상북도",포항,23,23,20,17,15,16
"경상북도",구미,29,25,22,19,17,17
"경상북도",김천,27,26,22,16,13,12
"경상북도",경주,22,25,23,18,17,16
"경상북도",안동,23,22,20,15,12,11
"경상북도",영주,34,30,24,17,14,14
"경상북도",경산,26,24,18,17,16,18
"경상북도",상주,31,26,23,19,19,13
"경상북도",칠곡,27,27,24,20,17,18
"경상북도",울진,18,20,21,14,11,10
"경상북도",봉화,18**,19**,16**,14**,11**,12*
"경상북도",고령,24,23,20,17,14,16
"경상북도",군위,18,16,14,10,8,-
"경상북도",성주,29,29,23,18,13,14
"경상북도",예천,25,24,21,18,17,17
"경상북도",청도,24,23,19,17,14,12
"경상북도",청송,18,18,17,12,11,11
"경상북도",영양,21,21,19,14,12,10
"경상북도",문경,27,24,20,14,14,11
"경상북도",도평균,24,24,20,17,15,15
"경상남도",창원,20,22,18,16,14,14
"경상남도",진주,22,22,17,16,13,14
"경상남도",하동,18,20,15,16,13,16
"경상남도",김해,21,22,17,16,15,15
"경상남도",양산,22,22,16,16,15,15
"경상남도",거제,18,18,15,14,11,11
"경상남도",사천,19,18,16,13,10,10
"경상남도",밀양,21,20,18,15,13,12
"경상남도",통영,24,25,21,18,12,12
"경상남도",고성,19,21,17,15,10,10
"경상남도",거창,24,26,18,16,12,12
"경상남도",함안,23,20,17,14,11,11
"경상남도",함양,24,27,20,15,11,12
"경상남도",남해,22,22,19,16,11,10
"경상남도",산청,16,20,15,-,-,-
"경상남도",의령,22,21,18,17,14,16
"경상남도",창녕,22,21,17,17,15,17
"경상남도",합천,22,25,19,19,17,20
"경상남도",도평균,21,22,17,16,13,14
"제주특별자치도",제주,17,23,19,14,11,8
"제주특별자치도",서귀포,13,20,16,13,12,11
"제주특별자치도",도평균,15,22,18,14,11,10
