"행정구역별(1)",행정구역별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(1)",행정구역별(2),발생건수 (건),발생건수 (건),발생건수 (건),사망자수 (명),사망자수 (명),부상자수 (명),부상자수 (명),주민등록인구수(등록외국인포함) (명),사고유형별 (건),사고유형별 (건),사고유형별 (건),사고유형별 (건),사고유형별 (건),자동차종류별 (건),자동차종류별 (건),자동차종류별 (건),자동차종류별 (건),자동차종류별 (건),자동차종류별 (건),자동차종류별 (건)
"행정구역별(1)",행정구역별(2),소계,자동차1만대당,자동차수 (대),소계,인구10만명당,소계,인구10만명당,소계,소계,차대사람,차대차,차량단독,기타,소계,승용차,승합차,화물,특수,이륜차,기타
"부산광역시",금정구,819,83.3,98267,4,1.7,1199,507.0,236485,819,222,572,25,-,819,563,28,99,3,91,35
"부산광역시",강서구,728,75.7,96208,10,7.0,977,684.6,142719,728,55,640,33,-,728,418,36,125,43,50,56
"부산광역시",연제구,744,68.1,109263,8,3.8,977,465.0,210128,744,192,538,14,-,744,489,28,76,3,118,30
"부산광역시",수영구,666,61.3,108596,5,2.8,875,490.0,178589,666,187,467,12,-,666,467,22,66,5,74,32
"부산광역시",사상구,921,89.5,102953,11,5.1,1226,564.6,217135,921,209,681,31,-,921,560,40,163,10,108,40
"부산광역시",기장군,559,61.8,90423,8,4.5,915,518.0,176635,559,89,453,17,-,559,400,24,60,4,50,21
"대구광역시",소계,12940,106.1,1219196,112,4.6,18974,775.7,2446144,12940,2075,10537,328,0,12940,8570,396,1343,38,1460,1133
"대구광역시",중구,709,102.4,69216,8,10.4,1056,1366.8,77262,709,176,513,20,0,709,472,25,59,0,90,63
"대구광역시",동구,1731,105.1,164629,21,6.1,2615,760.9,343685,1731,269,1391,71,0,1731,1127,66,187,3,179,169
"대구광역시",서구,1170,159.1,73530,10,5.8,1710,989.1,172879,1170,180,968,22,0,1170,711,28,135,7,156,133
"대구광역시",남구,892,153.6,58063,7,4.7,1349,910.0,148247,892,171,694,27,0,892,597,27,81,1,113,73
"대구광역시",북구,2137,102.0,209462,17,3.8,2998,673.8,444923,2137,314,1761,62,0,2137,1311,67,258,10,266,225
"대구광역시",수성구,2135,96.7,220692,11,2.6,3139,736.9,425987,2135,336,1760,39,0,2135,1570,72,129,2,206,156
"대구광역시",달서구,3221,113.0,285020,15,2.6,4714,829.2,568481,3221,511,2655,55,0,3221,2198,85,330,10,357,241
"대구광역시",달성군,945,68.2,138584,23,8.7,1393,526.3,264680,945,118,795,32,0,945,584,26,164,5,93,73
